time,value
1544789524,2206025.696
1544789540,2273217.970
1544789561,2228716.368
1544789576,2280448.308
1544789597,2222907.214
1544789612,2238275.060
1544789625,2264752.208
1544789646,2173636.618
1544789661,2162173.548
1544789675,2252135.779
1544789688,2279538.491
1544789702,2267457.166
1544789716,2260883.480
1544789730,2257664.868
1544789744,2267845.901
1544789758,2192280.374
1544789776,2221615.658
1544789791,2234671.371
1544789804,2085535.351
1544789817,2172295.417
1544789830,2281698.706
1544789851,2201276.543
1544789866,2161435.606
1544789879,2229986.536
1544789893,2271190.535
1544789907,2244015.494
1544789922,2266197.568
1544789936,2217741.180
1544789950,2220094.815
1544789965,2225729.701
1544789979,2216826.329
1544789993,2203465.025
1544790008,2186855.736
1544790022,2227343.341
1544790037,2242779.548
1544790051,2233513.380
1544790065,2186454.617
1544790084,2206432.848
1544790099,2223686.997
1544790112,2028913.428
1544790125,2215806.076
1544790138,2220804.969
1544790151,2287097.209
1544790171,2373375.220
1544790186,2371298.504
1544790200,2383291.817
1544790214,2371519.603
1544790228,2367363.198
